# ,Skx,Sky,RMSx,RMSy,Kx,Ky,CFx,CFy,P2Px,P2Py,filename
22263.0,-0.5551484097580515,-0.328011379643889,7.259795546650764,2.614445910444867,-0.7868065718851818,-1.1040705772121278,2.2000853739426045,2.0109270492061566,31.99219,11.22461,_20_07_06_08_50_06_1400.txt
22264.0,-0.5535650711855394,-0.3134220769190859,7.083026869688327,2.619000906891401,-0.8606996536821749,-1.094149453069796,2.2549921514984765,2.0014655154212044,31.9961,11.445319999999999,_20_07_06_08_51_24_1400.txt
22265.0,-0.5884130751908698,-0.3742471773249625,7.3136072122747295,2.6359628650435445,-0.8504581441833827,-1.0290952972966947,2.1838977041579763,1.9411654344058724,31.9961,11.142579999999999,_20_07_06_08_52_16_1400.txt
22266.0,-0.5704057113866978,-0.35712126854858206,7.185352521182057,2.6196944208977713,-0.8351956488899432,-1.1091743579204218,2.222879107589342,2.0792157881274336,31.951169999999998,11.7207,_20_07_06_08_53_08_1400.txt
22267.0,-0.49318757028555077,-0.4167150592271773,7.45639979171537,2.6088055770938814,-0.7458701936906404,-1.101084502297253,2.142075324038593,1.9261841680044702,31.99414,11.48242,_20_07_06_08_54_00_1400.txt
22268.0,-0.5210889367748412,-0.4547364653323004,7.531977436233186,2.6087803275501256,-0.7710630245822201,-1.0247948588100142,2.1205812331784992,2.0003217384349634,31.99805,11.486329999999999,_20_07_06_08_55_16_1400.txt
22269.0,-0.583218582601504,-0.3541871598972172,7.223652761643287,2.6039467299150263,-0.8155365037945033,-1.0820840331953347,2.2110932691574368,1.991284975391646,31.986330000000002,11.3086,_20_07_06_08_56_08_1400.txt
22270.0,-0.5769190746172169,-0.3552582936837183,7.366778113905086,2.6216799638689254,-0.793501575444858,-0.9762455230576812,2.168135072488731,2.0396463617583436,31.99414,11.34375,_20_07_06_08_57_00_1400.txt
22271.0,-0.5237493621926865,-0.40870613192898486,7.463174161981721,2.594418497636663,-0.7653059986393176,-1.045809319082238,2.1401309487542304,1.8924471917204144,31.99805,11.18945,_20_07_06_08_58_17_1400.txt
22272.0,-0.5132575946300677,-0.40442313894811643,7.375113842130446,2.565588901126176,-0.7689221886343334,-1.081951803191674,2.1656845361164114,1.9167607085614498,31.988280000000003,11.37696,_20_07_06_08_59_10_1400.txt
22273.0,-0.5584160065366209,-0.3302384445880278,7.233244597278373,2.612046797027398,-0.7729857082361637,-1.0188738825284445,2.2081611903473846,1.997073714734554,31.982419999999998,11.25977,_20_07_06_09_00_02_1400.txt
22274.0,-0.5418779564691065,-0.3666916452142025,7.179427903637458,2.5856402216970324,-0.7835430393194724,-1.0855088194557592,2.224713474998154,2.038616956747525,31.980469999999997,11.45508,_20_07_06_09_01_20_1400.txt
22275.0,-0.5434266380980433,-0.41020722118489544,7.339384402630789,2.614111994884789,-0.7896394511615257,-1.0072245057120701,2.1762274768269125,1.899861218539294,31.99805,11.236329999999999,_20_07_06_09_02_13_1400.txt
22276.0,-0.5670774587964469,-0.30299669391738293,7.131355914554022,2.599801601382615,-0.8641767465859131,-1.0777940916498077,2.239710118436693,1.9681655697414697,31.9961,11.0293,_20_07_06_09_03_05_1400.txt
22277.0,-0.5229106653916563,-0.4440584301286757,7.55805027519982,2.5954788616574187,-0.7371573997052541,-1.0341102159310294,2.113265910973016,1.8916740461776305,31.99805,11.63476,_20_07_06_09_04_23_1400.txt
22278.0,-0.4711626438831835,-0.4494624303670679,7.537026722601793,2.597061850083136,-0.7021566520381448,-1.0591157733380159,2.119160590488975,1.8265987773252854,31.99805,11.11719,_20_07_06_09_05_15_1400.txt
22279.0,-0.5798710060803394,-0.30009662414402516,7.167055869085208,2.6002934882841746,-0.8651750848075515,-1.092872189719149,2.228553856946376,2.0541719709972432,31.97461,11.26172,_20_07_06_09_06_08_1400.txt
22280.0,-0.568628072458804,-0.40015812544302554,7.307192872969353,2.616348149573304,-0.8074105002017662,-1.0162277455663848,2.1858147550865925,1.9310809231653612,31.99024,10.99609,_20_07_06_09_07_00_1400.txt
22281.0,-0.556944078716084,-0.34831235279702205,7.205247215308194,2.6047699399105246,-0.8123606823869114,-1.0866219891054616,2.2167414278396573,1.9764087112341444,31.9961,11.18946,_20_07_06_09_08_18_1400.txt
22282.0,-0.5694358188080527,-0.36954109275931996,7.19136570250802,2.590036292400975,-0.7834739587427255,-1.0833045312605596,2.221020409854784,1.957486084220127,31.980469999999997,11.02344,_20_07_06_09_09_10_1400.txt
22283.0,-0.5773440814850106,-0.3044331809472828,7.237257457670374,2.618631426591904,-0.8219560072883576,-1.053974968816318,2.20693682564408,2.0457518173804696,31.96485,11.52148,_20_07_06_09_10_02_1400.txt
22284.0,-0.6071568104358501,-0.32214426093388393,7.138788153395011,2.601826292246669,-0.8821292910499507,-1.0535055015647825,2.237378341645294,2.0311886369003487,31.99414,11.34765,_20_07_06_09_11_20_1400.txt
22285.0,-0.5613069235077002,-0.3135548977908894,7.3793578949541745,2.6156078330388484,-0.7739507625940956,-1.0512183534280704,2.164438996910745,2.1018823734033165,31.982419999999998,11.892579999999999,_20_07_06_09_12_12_1400.txt
22286.0,-0.6022116064344318,-0.2774556468515143,7.165927385745392,2.623540604356092,-0.9008933324555923,-1.0437970137087595,2.2289048074603945,1.989067747354639,31.99805,11.6836,_20_07_06_09_13_04_1400.txt
22287.0,-0.5157187125391213,-0.43188328978504675,7.441234825492109,2.5889446398897427,-0.7514249391115708,-1.0188303031398251,2.146440795724212,1.9824525874058783,31.99805,11.472660000000001,_20_07_06_09_14_22_1400.txt
22288.0,-0.5493864439260606,-0.36442917478219483,7.376118998594802,2.591328704409228,-0.7725975356427397,-1.044738762398957,2.1653894145475148,1.9957020470619935,31.97461,11.21875,_20_07_06_09_15_14_1400.txt
22289.0,-0.5736533368759908,-0.3520299136981905,7.258865288503376,2.603974664581733,-0.8159102578105482,-1.0059997567191536,2.200367325358248,1.9567586694697918,31.972659999999998,11.14844,_20_07_06_09_16_07_1400.txt
22290.0,-0.5858529169700205,-0.30884790251433036,7.118554010236913,2.5985471889975793,-0.8096898644818018,-1.0677014590235037,2.243737980639193,2.0352564780785003,31.96875,11.35937,_20_07_06_09_17_24_1400.txt
22291.0,-0.6332395303088316,-0.41281504113671585,7.557506195989869,2.5263912399107524,-0.5526341439841058,-0.8702616917699966,2.1134180489954586,2.046227012797361,31.99805,11.77734,_20_07_06_10_18_14_1400.txt
22292.0,-0.6628152889629217,-0.365229869247133,7.413817318302175,2.6667622550777765,-0.6793063974873603,-0.9034290713101183,2.1543786843209887,1.9429141049729184,31.99805,11.46875,_20_07_06_10_19_05_1400.txt
22293.0,-0.6201061318911765,-0.3952533451346265,7.478307776573967,2.664115153518451,-0.6188787211339966,-0.9951150035329452,2.135800033536106,2.0372167444910003,31.99805,12.1875,_20_07_06_10_20_23_1400.txt
22294.0,-0.6190206361470761,-0.37293422184649194,7.393389342864745,2.6970623007797982,-0.6435435347469687,-1.0013345725582772,2.160331244480519,1.9659835067461844,31.99805,11.57812,_20_07_06_10_21_14_1400.txt
22295.0,-0.5766327834639486,-0.4763238041697902,7.7448772456765695,2.7036727611903943,-0.5443880104460899,-0.9687415264453798,2.06228833503025,2.0023540118133267,31.99219,12.01562,_20_07_06_10_22_06_1400.txt
22296.0,-0.6489840832492482,-0.4670388047399184,7.346854446395232,2.681533383692515,-0.6863226383993286,-0.8864950985684863,2.174014759178579,1.9300263168356864,31.99219,11.90234,_20_07_06_10_23_24_1400.txt
22297.0,-0.5556473439110861,-0.38820342862191176,7.2987298896961335,2.647855548735548,-0.6049757255832775,-1.0479054461668922,2.1883492390297192,1.9648994834648443,31.99414,11.46875,_20_07_06_10_24_17_1400.txt
22298.0,-0.493515966846078,-0.4629585235743243,7.5040884399369965,2.661344683744496,-0.5735730296077617,-0.9327003880866407,2.128462387915847,2.0885081267187044,31.9961,12.0332,_20_07_06_10_25_09_1400.txt
22299.0,-0.4731052101857252,-0.4566784558905615,7.450455934524339,2.603446153648725,-0.5986516982003405,-0.9870415039860143,2.1437842382218877,2.152961754997097,31.99414,12.263670000000001,_20_07_06_10_26_02_1400.txt
